,Accuracy,Precision,Recall,F1,MAE,RMSE,R2
Fold 1,0.6541666666666667,0.7119471481198153,0.6541666666666667,0.6698288200481183,0.375,0.6582805886043833,-0.3904517853972642
Fold 2,0.5916666666666667,0.7033035222894882,0.5916666666666667,0.6178621490189992,0.45,0.7302967433402214,-0.820876059484499
Fold 3,0.6583333333333333,0.7293548711755233,0.6583333333333333,0.6726923076923076,0.37083333333333335,0.6551081335677849,-0.27265238878163944
Fold 4,0.6583333333333333,0.766905660469002,0.6583333333333333,0.685435075524958,0.3625,0.635741037425355,-0.5662002152599646
Fold 5,0.625,0.7453219696969698,0.625,0.655062395502291,0.4166666666666667,0.7071067811865476,-0.8297331638856966
Fold 6,0.6333333333333333,0.7815133557892704,0.6333333333333333,0.6642600938967136,0.4166666666666667,0.7187952884282609,-0.8564032187358528
Fold 7,0.5958333333333333,0.6972931087240958,0.5958333333333333,0.6189369873551152,0.4375,0.710046946804693,-0.6690614402896387
Fold 8,0.6208333333333333,0.6772869939342644,0.6208333333333333,0.6356720430107526,0.4,0.6645800679125629,-0.5370672466697544
Fold 9,0.6291666666666667,0.699599289021164,0.6291666666666667,0.6490330711837065,0.4,0.67700320038633,-0.4945652173709978
Fold 10,0.6208333333333333,0.7240929790590935,0.6208333333333333,0.6405511931307084,0.4083333333333333,0.6831300510639732,-0.5258855585623174
